event_id,date,published_date,country,sector,domain,entity,event_title,event_summary,source_name,source_type,source_url,source_tier,secondary_sources,space_compute_relevance_score,industry_impact_score,novelty_score,total_score,priority,reason_for_priority,include_in_report,implication,meaning_for_us,next_watch,analyst_note,source_discovery_flag
W29-E001,2026-07-19,2026-07-19,China,科技,Technology,,2026年太空算力产业爆发:行业资讯与技术革新解析及数据展望_报告大厅,"中国报告大厅网讯,上海“星枢计划”首发星座发布,太空算力基础设施建设加速",www.chinabgao.com,Web,https://www.chinabgao.com/finance/hs/306158.html,Watch,,5,5,4,4.80,B,编辑降级：行情/趋势/预告或非原子事件,Brief,可能影响太空算力的部署节奏、硬件供给或应用边界。,用于校准产业路线、合作对象和资本节奏。,跟踪后续官方文件、技术参数、订单或融资交割。,Pass A discovery; Pass C date-window structured result,Yes
W29-E002,2026-07-14,2026-07-14,China,政策,Policy,,2026太空算力行业发展现状与未来趋势_中研普华_中研网,"太空算力产业是依托卫星星座、空间站等太空载体搭载星载计算、存储、智能处理硬件与配套软件体系,构建天地协同一体化算力网络的战略性新兴产业。是融合航天工程、人工智能、高性能计算的新型数字新基建,支撑新质生产力与空间经济长远发展。太空算力行业发展现状与未来趋势一、引言当人工智能进入大模型时代,算力竞争的性质正在发生根本性变化。它不再是芯片制程的单一竞赛,而演变为能源、土地、电力与散热的多维博弈。中研普华研究院撰写的《2026-2030年中国太空算力行业深度调研及投资前景预测研究报告》显示:太空算力行业正处于从“概念验证”向“工程部署”加速跨越的关键窗口期,产业链价值分布远未定型,但“载荷壁垒最厚、组网主权最强、运营天花板最高”的格局正在逐步清晰。二、市场全景从SpaceX的招股书看市场想象力2026年6月,SpaceX登陆纳斯达克,募资约750亿美元,市值突破2.1万亿美元,成为人类历史上最大规模的IPO。在其280页的招股书中,最值得细读的内容并非星链或火箭业务的成熟数据,而是其对总潜在市场(TAM)的估算——28.5万亿美元,其中超过90%来自AI板块。这一估算的大前提是:地球可能无法快速扩展发电和计算能力。这一判断并非危言耸听。2025年,全球数据中心耗电485太瓦时,相当于日本全国一年的用电量。到2030年,这一数字预计翻倍至950太瓦时。AI服务器的电力消耗增速约为全球电力总增速的6倍。马斯克给SpaceX的“Starmind”计划设定了明确时间表:2027年底前实现1吉瓦太空AI算力的年化部署率,相当于一座标准百万人口城区的居民日常用电负荷。从更宏观的产业预测来看,据Fortune",www.chinairn.com,Web,https://www.chinairn.com/scfx/20260714/175340563.shtml,Watch,,5,4,3,4.30,B,编辑降级：行情/趋势/预告或非原子事件,Brief,可能影响太空算力的部署节奏、硬件供给或应用边界。,用于校准产业路线、合作对象和资本节奏。,跟踪后续官方文件、技术参数、订单或融资交割。,Pass A discovery; Pass C date-window structured result,Yes
W29-E003,2026-07-13,2026-07-13,China,政策,Policy,,关于公示2026年首都科技条件平台算力开放单位的通知_通知公告_北京市科学技术委员会、中关村科技园区管理委员会,各有关单位:,kw.beijing.gov.cn,Web,https://kw.beijing.gov.cn/zwgk/tzgg/202607/t20260713_4759070.html,S_Core,,2,3,3,2.50,B,正文覆盖校准：官方或技术链补充信号，仅作Brief,Brief,作为地面算力与芯片供给侧对照。,用于校准产业路线、合作对象和资本节奏。,跟踪后续官方文件、技术参数、订单或融资交割。,Pass A discovery; Pass C date-window structured result,Yes
W29-E004,2026-07-18,2026-07-18,China,科技,Technology,,上海太空算力星座工程发布 商业运营阶段完成千星部署-三湘都市报,上海太空算力星座工程发布,sxdsb.voc.com.cn,Web,https://sxdsb.voc.com.cn/mobile/content/33192050,Watch,,5,5,4,4.80,S,内核,Yes,可能影响太空算力的部署节奏、硬件供给或应用边界。,用于校准产业路线、合作对象和资本节奏。,跟踪后续官方文件、技术参数、订单或融资交割。,Pass A discovery; Pass C date-window structured result,Yes
W29-E005,2026-07-19,2026-07-19,China,政策,Policy,,2026年政策与技术双轮驱动下的市场动态及环境演变_报告大厅,"中国报告大厅网讯,2026年以来,政策调控与技术创新交织,推动市场在金融、科技、能源等多个领域呈现显著变化。两融市场风险可控与AI算力加速布局并行,电池消费税政策调整与太空算力工程落地形成产业新坐标,国际环境中的加息预期与国内政策引导共同塑造了当前市场环境。本文通过多维度数据解析,揭示政策导向、技术革新与市场动态的深层关联。",m.chinabgao.com,Web,https://m.chinabgao.com/finance/us/307062.html,Watch,,5,3,3,4.00,B,编辑降级：行情/趋势/预告或非原子事件,Brief,可能影响太空算力的部署节奏、硬件供给或应用边界。,用于校准产业路线、合作对象和资本节奏。,跟踪后续官方文件、技术参数、订单或融资交割。,Pass A discovery; Pass C date-window structured result,Yes
W29-E006,2026-07-14,2026-07-14,China,政策,Policy,,《重复使用运载火箭科研项目指南(第三批)》已正式发布,"人民财讯7月14日电,记者从国家航天局系统工程司获悉,《关于印发重复使用运载火箭科研项目指南(第三批)的通知》已正式发布。各类企业、事业单位可按相应渠道查阅申报要求和指南内容,积极申报。",stcn.com,Web,https://stcn.com/article/detail/4016878.html,S_Core,,4,4,4,4.00,B,编辑降级：保留国家航天局原始通告,Brief,可能影响太空算力的部署节奏、硬件供给或应用边界。,用于校准产业路线、合作对象和资本节奏。,跟踪后续官方文件、技术参数、订单或融资交割。,Pass A discovery; Pass C date-window structured result,Yes
W29-E007,2026-07-19,2026-07-19,China,政策,Policy,,"周末大消息!太空算力赛道,迎重磅利好!_腾讯新闻","2026年7月18日,在2026世界人工智能大会上,上海“星枢计划”首发星座正式对外发布。作为“星空的核心、算力总枢纽”,“星枢计划”定位为上海市旗舰级太空算力星座工程,规划工程验证阶段发射2颗算力星+12颗边缘计算星,商业部署阶段发射50颗算力星+100颗边缘计算星,商业运营阶段完成千星部署。与此同时,7月18日当天,国星宇航与商汤科技也宣布共建“商汤太空算力星座”,计划到2030年建成由千颗级算力卫星组成、总算力超万P的覆盖全球的空间智能计算网络。两大星座同日亮相,标志着太空算力赛道正从顶层设计加速迈入在轨验证与场景落地阶段。在AI算力需求爆发、可回收火箭技术突破、大国博弈等多重因素驱动下,太空算力正从技术验证与政策孵化的早期阶段跨入规模化放量前夜。01",news.qq.com,Web,https://news.qq.com/rain/a/20260719A0997G00,Watch,,5,5,4,4.80,B,编辑降级：星枢计划同一发布事件的重复/综述稿,Brief,可能影响太空算力的部署节奏、硬件供给或应用边界。,用于校准产业路线、合作对象和资本节奏。,跟踪后续官方文件、技术参数、订单或融资交割。,Pass A discovery; Pass C date-window structured result,Yes
W29-E008,2026-07-13,2026-07-13,China,科技,Technology,,2026年7月13日环评文件审批公告,2026年7月13日环评文件审批公告,sthjj.xuchang.gov.cn,Web,https://sthjj.xuchang.gov.cn/yghb/001001/20260713/33f87ab5-18d2-4b9a-8b8e-73a46b62c8b4.html,S_Core,,1,3,3,2.00,C,弱相关,Exclude,作为地面算力与芯片供给侧对照。,用于校准产业路线、合作对象和资本节奏。,跟踪后续官方文件、技术参数、订单或融资交割。,Pass A discovery; Pass C date-window structured result,Yes
W29-E009,2026-07-13,2026-07-13,China,科技,Technology,,公告内容文档,序号,luoyang.zfcg.henan.gov.cn,Web,https://luoyang.zfcg.henan.gov.cn/cmsweb35rc67w/pingdingshan/htysgg/ysjggg/webinfo/2026/07/1984496.htm,S_Core,,1,3,3,2.00,C,弱相关,Exclude,作为地面算力与芯片供给侧对照。,用于校准产业路线、合作对象和资本节奏。,跟踪后续官方文件、技术参数、订单或融资交割。,Pass A discovery; Pass C date-window structured result,Yes
W29-E010,2026-07-17,2026-07-17,China,政策,Policy,,港航行政许可信息2026.07.03-2026.07.09-武汉市交通运输局,港航行政许可信息2026.07.03-2026.07.09,jtj.wuhan.gov.cn,Web,https://jtj.wuhan.gov.cn/zwgk/zfxxgkml/xkfw/xzxk22/202607/t20260717_2822053.shtml,S_Core,,1,3,3,2.00,C,弱相关,Exclude,作为地面算力与芯片供给侧对照。,用于校准产业路线、合作对象和资本节奏。,跟踪后续官方文件、技术参数、订单或融资交割。,Pass A discovery; Pass C date-window structured result,Yes
W29-E011,2026-07-16,2026-07-16,China,科技,Technology,,2026年7月16日环评文件审批公告,2026年7月16日环评文件审批公告,sthjj.xuchang.gov.cn,Web,https://sthjj.xuchang.gov.cn/yghb/001001/20260716/c4964421-5ab9-4cc3-89a4-63a4426fec59.html,S_Core,,1,3,3,2.00,C,弱相关,Exclude,作为地面算力与芯片供给侧对照。,用于校准产业路线、合作对象和资本节奏。,跟踪后续官方文件、技术参数、订单或融资交割。,Pass A discovery; Pass C date-window structured result,Yes
W29-E012,2026-07-17,2026-07-17,China,政策,Policy,,东方航天港牵头编制的三项国家标准获批发布_大众新闻_大众新媒体大平台,烟台融媒7月17日讯(YMG全媒体记者,dzrb.dzng.com,Web,https://dzrb.dzng.com/general/0/NEWS3541394NCNSYOZIUKPTR,Watch,,4,4,4,4.00,A,中圈载体,Yes,可能影响太空算力的部署节奏、硬件供给或应用边界。,用于校准产业路线、合作对象和资本节奏。,跟踪后续官方文件、技术参数、订单或融资交割。,Pass A discovery; Pass C date-window structured result,Yes
W29-E013,2026-07-17,2026-07-17,China,政策,Policy,,东方航天港牵头编制的三项国家标准获批发布 头条 烟海e家,烟台融媒7月17日讯(YMG全媒体记者,ytapp.jiaodong.net,Web,https://ytapp.jiaodong.net/system/2026/07/17/201785093.shtml,Watch,,4,4,4,4.00,B,编辑降级：同一原子事件的重复报道,Brief,可能影响太空算力的部署节奏、硬件供给或应用边界。,用于校准产业路线、合作对象和资本节奏。,跟踪后续官方文件、技术参数、订单或融资交割。,Pass A discovery; Pass C date-window structured result,Yes
W29-E014,2026-07-14,2026-07-14,China,科技,Technology,,关于2026年基本科研业务费项目 (商业航天专项)立项的公示,"各单位:我校2026年基本科研业务费项目(商业航天专项)已完成申报和评审工作,现将拟资助的项目予以公示。任何单位和个人如果对公示项目持有异议,请于3个工作日(7月14日-7月16日)内向科学技术研究院反映。单位提出异议的应加盖公章,个人提出异议的应签署真实姓名和联系方式。匿名或超出公示期的异议不予受理。联系人:刘爽",kyy.nuaa.edu.cn,Web,https://kyy.nuaa.edu.cn/2026/0714/c5818a405441/page.htm,Watch,,4,3,4,3.70,A,中圈载体,Yes,可能影响太空算力的部署节奏、硬件供给或应用边界。,用于校准产业路线、合作对象和资本节奏。,跟踪后续官方文件、技术参数、订单或融资交割。,Pass A discovery; Pass C date-window structured result,Yes
W29-E015,2026-07-16,2026-07-16,China,政策,Policy,,海阳东方航天港牵头编制的三项海上发射国家标准获批发布 海阳发布 烟海e家,"7月13日《山东新闻联播》报道,由东方航天港牵头编制的三项海上发射国家标准获批发布。",ytapp.jiaodong.net,Web,https://ytapp.jiaodong.net/system/2026/07/15/201781946.shtml,Watch,,4,4,4,4.00,B,编辑降级：同一原子事件的重复报道,Brief,可能影响太空算力的部署节奏、硬件供给或应用边界。,用于校准产业路线、合作对象和资本节奏。,跟踪后续官方文件、技术参数、订单或融资交割。,Pass A discovery; Pass C date-window structured result,Yes
W29-E016,2026-07-17,2026-07-17,China,政策,Policy,,黔西南州应急管理局2026年7月13日-7月17日期间行政许可公告,90634562,www.qxn.gov.cn,Web,https://www.qxn.gov.cn/zwgk/zfjg/zyjj_5135265/bmxxgkml_5135268/bmgg_5135273/202607/t20260717_90634562.html,S_Core,,1,3,3,2.00,C,弱相关,Exclude,作为地面算力与芯片供给侧对照。,用于校准产业路线、合作对象和资本节奏。,跟踪后续官方文件、技术参数、订单或融资交割。,Pass A discovery; Pass C date-window structured result,Yes
W29-E017,2026-07-18,2026-07-18,China,科技,Technology,,太空算力星座工程发布、机器人集体“上岗”......WAIC 2026第二日精华来了,《科创板日报》7月18日讯,c.m.163.com,Web,https://c.m.163.com/news/a/L251QSAA0550B1DU.html,Watch,,5,3,4,4.20,B,编辑降级：星枢计划同一发布事件的重复/综述稿,Brief,可能影响太空算力的部署节奏、硬件供给或应用边界。,用于校准产业路线、合作对象和资本节奏。,跟踪后续官方文件、技术参数、订单或融资交割。,Pass A discovery; Pass C date-window structured result,Yes
W29-E018,2026-07-14,2026-07-14,China,科技,Technology,,“星舰”拟于本周四进行第13次试飞 首次搭载实用版“星链”卫星-财经-金融界,“星舰”拟于本周四进行第13次试飞,finance.jrj.com.cn,Web,https://finance.jrj.com.cn/2026/07/14162057796857.shtml,Watch,,4,5,4,4.30,S,中圈载体,Yes,可能影响太空算力的部署节奏、硬件供给或应用边界。,用于校准产业路线、合作对象和资本节奏。,跟踪后续官方文件、技术参数、订单或融资交割。,Pass A discovery; Pass C date-window structured result,Yes
W29-E019,2026-07-16,2026-07-16,China,科技,Technology,,地平线行者7月16日更新公告_地平线行者wiki|GameKee,原创2.4K+获阅数量2111.2W+获赞1.3W+KEE五号姬,www.gamekee.com,Web,https://www.gamekee.com/hw/712811.html,Watch,,1,3,3,2.00,C,弱相关,Exclude,作为地面算力与芯片供给侧对照。,用于校准产业路线、合作对象和资本节奏。,跟踪后续官方文件、技术参数、订单或融资交割。,Pass A discovery; Pass C date-window structured result,Yes
W29-E020,2026-07-17,2026-07-17,China,科技,Technology,,马斯克:星舰最有可能的发射时间是下周初。_外汇动态报道,2026-07-17,www.fx678.com,Web,https://www.fx678.com/C/20260717/202607170805242465.html,Watch,,4,3,4,3.70,B,编辑降级：行情/趋势/预告或非原子事件,Brief,可能影响太空算力的部署节奏、硬件供给或应用边界。,用于校准产业路线、合作对象和资本节奏。,跟踪后续官方文件、技术参数、订单或融资交割。,Pass A discovery; Pass C date-window structured result,Yes
W29-E021,2026-07-15,2026-07-15,China,科技,Technology,,智算星空CEO林子杨:太空算力迎来高速增长 加速赋能商业航天产业升级丨对话新经济人物 - 封面新闻,封面新闻记者,www.thecover.cn,Web,https://www.thecover.cn/news/KlCrD2koj2WH90qSdq8Jkw==,Watch,,5,3,3,4.00,A,内核,Yes,可能影响太空算力的部署节奏、硬件供给或应用边界。,用于校准产业路线、合作对象和资本节奏。,跟踪后续官方文件、技术参数、订单或融资交割。,Pass A discovery; Pass C date-window structured result,Yes
W29-E022,2026-07-17,2026-07-17,China,科技,Technology,,地平线行者7月16日更新内容_地平线行者wiki|GameKee,原创2.4K+获阅数量2116.2W+获赞1.3W+KEE五号姬,www.gamekee.com,Web,https://www.gamekee.com/hw/712921.html,Watch,,1,3,3,2.00,C,弱相关,Exclude,作为地面算力与芯片供给侧对照。,用于校准产业路线、合作对象和资本节奏。,跟踪后续官方文件、技术参数、订单或融资交割。,Pass A discovery; Pass C date-window structured result,Yes
W29-E023,2026-07-16,2026-07-16,China,科技,Technology,,火箭一子级回收技术突破 卫星互联网商业化加速到来- CFi.CN 中财网,火箭一子级回收技术突破,stock.cfi.cn,Web,https://stock.cfi.cn/p20260716000296.html,Watch,,4,3,3,3.50,B,中圈载体,Brief,可能影响太空算力的部署节奏、硬件供给或应用边界。,用于校准产业路线、合作对象和资本节奏。,跟踪后续官方文件、技术参数、订单或融资交割。,Pass A discovery; Pass C date-window structured result,Yes
W29-E024,2026-07-17,2026-07-17,China,政策,Policy,,关于组织开展2026年度山东省省级商业航天财政奖补资金申报工作的通知,"各有关企业:现将省、市《关于组织开展2026年度山东省省级商业航天财政奖补资金申报工作的通知》转发给你们,请相关企业积极申报。请符合申报要求的企业,于7月20日上午11点前,将申报材料(附件1、3,纸质版一式三份加盖公章,电子版需要Word可编辑版和PDF盖章扫描版;附件2、4,纸质版一式两份加盖公章,电子版需要Word可编辑版和PDF盖章扫描版)报送至济南高新区工信办公室(孙村街道科航大厦3号楼317)。联系人及联系方式:赵昶一",innovation.jinan.gov.cn,Web,http://innovation.jinan.gov.cn/col/col17708/art/2026/art_1c598e40d24d4baaaa3aea2df1448ac1.html,S_Core,,4,3,3,3.50,B,中圈载体,Brief,可能影响太空算力的部署节奏、硬件供给或应用边界。,用于校准产业路线、合作对象和资本节奏。,跟踪后续官方文件、技术参数、订单或融资交割。,Pass A discovery; Pass C date-window structured result,Yes
W29-E025,2026-07-13,2026-07-13,China,科技,Technology,,7月13收盘点评#赛力斯#商业航天#科技股干货知识_财富号_东方财富网,7月13收盘点评#赛力斯#商业航天#科技股干货知识,caifuhao.eastmoney.com,Web,https://caifuhao.eastmoney.com/news/20260713164902350024260,Watch,,4,3,3,3.50,B,中圈载体,Appendix,可能影响太空算力的部署节奏、硬件供给或应用边界。,用于校准产业路线、合作对象和资本节奏。,跟踪后续官方文件、技术参数、订单或融资交割。,Pass A discovery; Pass C date-window structured result,Yes
W29-E026,2026-07-16,2026-07-16,China,融资,commercial_space,,"航天发展:融资净买入1243.71万元,融资余额10.57亿元 _ 东方财富网","交易所最新数据显示,航天发展于2026年7月15日获融资买入8865.05万元,融资偿还7621.34万元,当日融资净买入1243.71万元。目前,该股融资余额10.57亿,占流通市值比例为4.50%。该股当日融券卖出0股,融券偿还300股,融券净偿还300股。目前,该股融券余量15.86万股,融券余额234.57万元。免责声明:本文基于AI生产,仅供参考,不构成任何投资建议,据此操作风险自担。东方财富发布此内容旨在传播更多信息,与本平台立场无关。东方财富力求但不保证数据的完全准确,如有错漏请以中国证监会指定上市公司信息披露媒体为准,东方财富不对因该资料全部或部分内容而引致的盈亏承担任何责任。用户个人对服务的使用承担风险,东方财富对此不作任何类型的担保。",finance.eastmoney.com,Web,https://finance.eastmoney.com/a/202607163808214732.html,Watch,,4,4,4,4.00,C,编辑降级：行情/趋势/预告或非原子事件,Database_Only,可能影响太空算力的部署节奏、硬件供给或应用边界。,用于校准产业路线、合作对象和资本节奏。,跟踪后续官方文件、技术参数、订单或融资交割。,Pass A discovery; Pass C date-window structured result,Yes
W29-E027,2026-07-17,2026-07-17,China,科技,Technology,,航天发展:13.61 -6.40% -0.93 000547 搜狐证券,当前:,q.stock.sohu.com,Web,https://q.stock.sohu.com/cn/000547/index.shtml?date=2026-07-18,Watch,,4,3,3,3.50,B,中圈载体,Appendix,可能影响太空算力的部署节奏、硬件供给或应用边界。,用于校准产业路线、合作对象和资本节奏。,跟踪后续官方文件、技术参数、订单或融资交割。,Pass A discovery; Pass C date-window structured result,Yes
W29-E028,2026-07-13,2026-07-13,China,融资,commercial_space,,"航天ETF华安融资净买入1567.22万元,居可比基金前2_腾讯新闻","2026年7月10日,航天ETF华安(159267.SZ)收涨5.74%,成交5.34亿元。获融资买入4096.68万元,融资偿还2529.45万元,融资净买入1567.22万元,居可比基金前2。(数据来源:Wind)",news.qq.com,Web,https://news.qq.com/rain/a/20260713A03DA500,Watch,,4,4,4,4.00,C,编辑降级：行情/趋势/预告或非原子事件,Database_Only,可能影响太空算力的部署节奏、硬件供给或应用边界。,用于校准产业路线、合作对象和资本节奏。,跟踪后续官方文件、技术参数、订单或融资交割。,Pass A discovery; Pass C date-window structured result,Yes
W29-E029,2026-07-15,2026-07-15,China,科技,Technology,,航天发展:14.79 -2.31% -0.35 000547 搜狐证券,当前:,q.stock.sohu.com,Web,https://q.stock.sohu.com/cn/000547/index.shtml?date=2026-07-15,Watch,,4,3,3,3.50,B,中圈载体,Appendix,可能影响太空算力的部署节奏、硬件供给或应用边界。,用于校准产业路线、合作对象和资本节奏。,跟踪后续官方文件、技术参数、订单或融资交割。,Pass A discovery; Pass C date-window structured result,Yes
