event_id,date,published_date,country,sector,domain,entity,event_title,event_summary,source_name,source_type,source_url,source_tier,secondary_sources,space_compute_relevance_score,industry_impact_score,novelty_score,total_score,priority,reason_for_priority,include_in_report,implication,meaning_for_us,next_watch,analyst_note,source_discovery_flag
2026W24-CN-FIN-001,2026-06-08,2026-06-08,China,Financing,AI,上海启物纪科技有限公司,上海启物纪科技有限公司完成天使轮,轮次/类型：天使轮；金额：-；投资方：奇绩创坛,企查查（境内）,Database,N/A,Manual,,2,4,4,3.00,B,阶段 4 初评：相关性 2/5、影响 4/5、新颖性 4/5；总分 3.00,Database_Only,融资事件反映芯片、商业航天或 AI 算力链条的资本配置方向。,影响 AI 算力基础设施和政策环境判断。,补公开公告、公司官网或融资报道验证金额和投资方。,来自企查查境内清单 + 行业归属类别：通过筛选：命中 AI；Stage4: financing compressed by 30% main-text cap,
2026W24-CN-FIN-002,2026-06-08,2026-06-08,China,Financing,Commercial_Space,上海垣信卫星科技有限公司,上海垣信卫星科技有限公司完成A+轮,轮次/类型：A+轮；金额：-；投资方：新微资本,企查查（境内）,Database,N/A,Manual,,3,4,4,3.50,B,阶段 4 初评：相关性 3/5、影响 4/5、新颖性 4/5；总分 3.50,Database_Only,融资事件反映芯片、商业航天或 AI 算力链条的资本配置方向。,影响可用载体、发射/在轨服务和卫星网络资源供给。,补公开公告、公司官网或融资报道验证金额和投资方。,来自企查查境内清单 + 行业归属类别：通过筛选：命中 Commercial_Space；Stage4: financing compressed by 30% main-text cap,
2026W24-CN-FIN-003,2026-06-08,2026-06-08,China,Financing,Chip;AI,九宸微电子（杭州）有限公司,九宸微电子（杭州）有限公司完成A轮,轮次/类型：A轮；金额：-；投资方：利城辰星基金,企查查（境内）,Database,N/A,Manual,,2,4,4,3.00,B,阶段 4 初评：相关性 2/5、影响 4/5、新颖性 4/5；总分 3.00,Database_Only,融资事件反映芯片、商业航天或 AI 算力链条的资本配置方向。,影响高可靠芯片、光互连和算力硬件供应链判断。,补公开公告、公司官网或融资报道验证金额和投资方。,来自企查查境内清单 + 行业归属类别：通过筛选：命中 Chip;AI；Stage4: financing compressed by 30% main-text cap,
2026W24-CN-FIN-004,2026-06-08,2026-06-08,China,Financing,Commercial_Space,北京航天易龙科技有限公司,北京航天易龙科技有限公司完成A轮,轮次/类型：A轮；金额：-；投资方：远德资本，玖兆投资,企查查（境内）,Database,N/A,Manual,,3,4,4,3.50,B,阶段 4 初评：相关性 3/5、影响 4/5、新颖性 4/5；总分 3.50,Database_Only,融资事件反映芯片、商业航天或 AI 算力链条的资本配置方向。,影响可用载体、发射/在轨服务和卫星网络资源供给。,补公开公告、公司官网或融资报道验证金额和投资方。,来自企查查境内清单 + 行业归属类别：通过筛选：命中 Commercial_Space；Stage4: financing compressed by 30% main-text cap,
2026W24-CN-FIN-005,2026-06-08,2026-06-08,China,Financing,AI,华超神控（上海）科技有限公司,华超神控（上海）科技有限公司完成天使+轮,轮次/类型：天使+轮；金额：约亿元；投资方：德联资本，道远资本,企查查（境内）,Database,N/A,Manual,,2,4,4,3.00,B,阶段 4 初评：相关性 2/5、影响 4/5、新颖性 4/5；总分 3.00,Database_Only,融资事件反映芯片、商业航天或 AI 算力链条的资本配置方向。,影响 AI 算力基础设施和政策环境判断。,补公开公告、公司官网或融资报道验证金额和投资方。,来自企查查境内清单 + 行业归属类别：通过筛选：命中 AI；Stage4: financing compressed by 30% main-text cap,
2026W24-CN-FIN-006,2026-06-08,2026-06-08,China,Financing,Chip,德氪微电子（深圳）有限公司,德氪微电子（深圳）有限公司完成A轮,轮次/类型：A轮；金额：-；投资方：昆石资本，致道资本,企查查（境内）,Database,N/A,Manual,,2,4,4,3.00,B,阶段 4 初评：相关性 2/5、影响 4/5、新颖性 4/5；总分 3.00,Database_Only,融资事件反映芯片、商业航天或 AI 算力链条的资本配置方向。,影响高可靠芯片、光互连和算力硬件供应链判断。,补公开公告、公司官网或融资报道验证金额和投资方。,来自企查查境内清单 + 行业归属类别：通过筛选：命中 Chip；Stage4: financing compressed by 30% main-text cap,
2026W24-CN-FIN-007,2026-06-08,2026-06-08,China,Financing,Chip,普达特半导体科技（徐州）有限公司,普达特半导体科技（徐州）有限公司完成天使轮,轮次/类型：天使轮；金额：-；投资方：高新鸿盛基金,企查查（境内）,Database,N/A,Manual,,2,4,4,3.00,B,阶段 4 初评：相关性 2/5、影响 4/5、新颖性 4/5；总分 3.00,Database_Only,融资事件反映芯片、商业航天或 AI 算力链条的资本配置方向。,影响高可靠芯片、光互连和算力硬件供应链判断。,补公开公告、公司官网或融资报道验证金额和投资方。,来自企查查境内清单 + 行业归属类别：通过筛选：命中 Chip；Stage4: financing compressed by 30% main-text cap,
2026W24-CN-FIN-008,2026-06-08,2026-06-08,China,Financing,AI,杭州镭萌科技有限责任公司,杭州镭萌科技有限责任公司完成A轮,轮次/类型：A轮；金额：-；投资方：弘颐资管,企查查（境内）,Database,N/A,Manual,,2,4,4,3.00,B,阶段 4 初评：相关性 2/5、影响 4/5、新颖性 4/5；总分 3.00,Database_Only,融资事件反映芯片、商业航天或 AI 算力链条的资本配置方向。,影响 AI 算力基础设施和政策环境判断。,补公开公告、公司官网或融资报道验证金额和投资方。,来自企查查境内清单 + 行业归属类别：通过筛选：命中 AI；Stage4: financing compressed by 30% main-text cap,
2026W24-CN-FIN-009,2026-06-08,2026-06-08,China,Financing,AI,武汉云智光联科技有限公司,武汉云智光联科技有限公司完成天使轮,轮次/类型：天使轮；金额：-；投资方：高瓴创投,企查查（境内）,Database,N/A,Manual,,2,4,4,3.00,B,阶段 4 初评：相关性 2/5、影响 4/5、新颖性 4/5；总分 3.00,Database_Only,融资事件反映芯片、商业航天或 AI 算力链条的资本配置方向。,影响 AI 算力基础设施和政策环境判断。,补公开公告、公司官网或融资报道验证金额和投资方。,来自企查查境内清单 + 行业归属类别：通过筛选：命中 AI；Stage4: financing compressed by 30% main-text cap,
2026W24-CN-FIN-010,2026-06-08,2026-06-08,China,Financing,AI,湖南昆仑元人工智能应用软件有限公司,湖南昆仑元人工智能应用软件有限公司完成天使轮,轮次/类型：天使轮；金额：5000万元；投资方：景嘉微,企查查（境内）,Database,N/A,Manual,,2,4,4,3.00,B,阶段 4 初评：相关性 2/5、影响 4/5、新颖性 4/5；总分 3.00,Database_Only,融资事件反映芯片、商业航天或 AI 算力链条的资本配置方向。,影响 AI 算力基础设施和政策环境判断。,补公开公告、公司官网或融资报道验证金额和投资方。,来自企查查境内清单 + 行业归属类别：通过筛选：命中 AI；Stage4: financing compressed by 30% main-text cap,
